Row Labels,Count of Media,Sum of Year,news orgs,partner1,partner2
1001Words,1,2007,1001Words,,
"20 Years Later, Los Angeles Times",1,2012,Los Angeles Times,,
"2005 Azerbaijan Elections, EurasiaNet.org",1,2006,EurasiaNet,,
"2012 Presidential Election, The New York Times",1,2013,New York Times,,
20minutos,1,2011,20minutos,,
360Degrees,1,2001,360Degrees,,
5 NBC Chicago,1,2011,NBC,,
AARP Bulletin Today,2,4018,AARP Bulletin,,
ABC News,4,8010,ABC,,
ABC Open,1,2012,ABC,,
"Abused and Used, The New York Times",1,2012,New York Times,,
"Ad Report Card, Slate",2,4009,Slate,,
Agence France Presse,1,2004,Agence France Presse,,
Al Dia Tx,1,2008,Al Dia,,
Al Jazeera,2,4022,Al Jazeera,,
Al Jazeera America Digital,3,6045,Al Jazeera,,
Al Jazeera English,1,2012,Al Jazeera,,
"Alfred Hermida, Graduate School of Journalism, University of British Columbia",1,2015,University of British Columbia,,
"American Public Media‰Ûªs Marketplace, ProPublica",1,2013,American Public Media,Propublica,
American Radio Works,1,2000,American Radio Works,,
"Andrew Leonard: The Student Loan Crisis, Salon",1,2012,Salon,,
"Animated political cartoons, Mark Fiore",1,2008,Mark Fiore,,
"Annenberg School for Communication &amp; Journalism, University of Southern California",1,2015,University of Southern California,,
APB News,4,8000,APB,,
Arizona Daily Star,2,4016,Arizona Daily Star,,
Arizona State University,2,4009,Arizona State University,,
"Arizona State University, Walter Cronkite School of Journalism",1,2015,Arizona State University,,
Arkansas Democrat-Gazette,1,2008,Arkansas Democrat-Gazette,,
Army Times Publishing Company,1,2008,Army Times Publishing Company,,
"Arts:OpEd, WBUR",1,2005,WBUR,,
Asbury Park Press,1,2011,Associated Press,,
Associated Press,9,18062,Atacama Stories,,
Atacama Stories,1,2007,Atacama Stories,,
Atlanta Journal-Constitution,2,4010,Atlanta Journal-Constitution,,
Atlantic Unbound,1,2000,Atlantic Unbound,,
Attributor,1,2009,Attributor,,
Austin American-Statesman,1,2015,Austin American-Statesman,,
Australian Broadcasting Corporation Innovation,1,2010,Australian Broadcasting Corporation Innovation,,
AxisPhilly,2,4026,AxisPhilly,,
BabyCenter,1,2000,BabyCenter,,
Bakersfield.com,1,2007,Bakersfield,,
Ball State University,2,4008,Ball State University,,
BankRate.com,1,2000,BankRate,,
"Battle of the bags: Paper vs. plastic, MSNBC",1,2008,MSNBC,,
BayArea.com,1,2000,Bay Area News Group,,
BBC News,9,18049,BBC,,
"BBC World Service, BBC News",1,2015,BBC,,
Bearing Witness,1,2008,BBC,,
BeliefNet,8,16024,Bearing Witness,,
Benicia News,2,4004,BeliefNet,,
Berliner Morgenpost,2,4030,Berliner Morgenpost,,
"Best of the Web Today, The Wall Street Journal",1,2004,Wall Street Journal,,
Bicycling,1,2006,Bicycling,,
BillMoyers.com,2,4026,Bill Moyers,,
Billy Penn,1,2015,Billy Penn,,
Blogtrotters.fr,1,2008,Blogtrotters,,
Bloomberg News,2,4025,Bloomberg,,
Bluffton Today,1,2005,Bluffton Today,,
BNET,1,2009,BNET,,
Border Beat,1,2007,Border Beat,,
"BorgBlog, Cincinnati.com",1,2006,Cincinnati Enquirer,,
Boston University News Service,1,2013,Boston University,,
Boston.com,3,6026,Boston Globe ,,
Boulder Daily Camera,1,2005,Boulder Daily Camera,,
"Burnover, Los Angeles Times",1,2008,Los Angeles Times,,
BusinessWeek Online,4,8001,BusinessWeek Online,,
California Watch,3,6036,California Watch,,
California Watch and Center for Investigative Reporting,6,12066,California Watch,Center for Investigative Reporting,
CamasMagazine.com,1,2002,Camas Magazine,,
Caring.com,1,2010,Caring,,
"Carolina Photojournalism Workshop, University of North Carolina",1,2012,University of North Carolina,,
CartoDB,1,2012,CartoDB,,
CBC News,8,16058,CBC,,
