Year,Status,Award,Media,Media2,Name,Url
2000,winner,"Breaking News, Collaboration",ABC News,,Chaos in Seattle,http://more.abcnews.go.com/sections/us/DailyNews/wtoseattle991201.html
2000,finalist,"Breaking News, Collaboration",The Wall Street Journal,,AOL-Time Warner Deal,http://interactive.wsj.com/ona/AOL-1.htm
2000,finalist,"Breaking News, Collaboration",The Albuquerque Tribune,,City on Fire,http://www.abqtrib.com/fire
2000,finalist,"Breaking News, Collaboration",BusinessWeek Online,,Indonesia in Transition,http://www.businessweek.com/bwdaily/dnflash/oct1999/nf91019c.htm
2000,winner,"Breaking News, Original to the Web",CNET,,Aftershocks from the Microsoft Breakup,http://news.cnet.com/news/0-1003-201-1993334-0.html
2000,finalist,"Breaking News, Original to the Web",Richmond.com,,Homeless and the Hurricane,http://www.richmond.com/output.cfm?id=3981
2000,finalist,"Breaking News, Original to the Web",Rediff.com,,Nightmare of Flight 814,http://www.rediff.com/news/iacrisis.htm
2000,winner,"Creative Use of the Medium, In Collaboration",TimesUnion.com,,The Diallo Case,http://timesunion.com/diallo/
2000,finalist,"Creative Use of the Medium, In Collaboration",BusinessWeek Online,,Best B-Schools,http://www.businessweek.com/bschools/
2000,finalist,"Creative Use of the Medium, In Collaboration",BayArea.com,,Birth of a Ballpark,http://sports.bayarea.com/baseball/pacbellpark/
2000,finalist,"Creative Use of the Medium, In Collaboration",Chicago Tribune,,Jelly Roll Morton Web Special,"http://chicagotribune.com/ws/front/0,1413,77,00.html"
2000,finalist,"Creative Use of the Medium, In Collaboration",Smart Money,,MarketMap,http://www.smartmoney.com/marketmap
2000,winner,"Creative Use of the Medium, Original",APB News,,The Great Basin Murders,http://www.apbnews.com/crimesolvers/unsolved/
2000,finalist,"Creative Use of the Medium, Original",DigitalJournalist.org,,Bitter Passage: Kent State &amp; the Fall of Saigon,http://digitaljournalist.org/issue0005/bpintro.htm
2000,finalist,"Creative Use of the Medium, Original",APB News,,Crimes of the Century,http://www.apbnews.com/crimesofthecentury/timeline.html
2000,finalist,"Creative Use of the Medium, Original",BeliefNet,,Memorial Day,http://www.beliefnet.com/story/26/story_2655_1.html
2000,winner,"Enterprise Journalism, In Collaboration",Associated Press,,No Gun Ri,http://wire.ap.org/APpackages/nogunri
2000,finalist,"Enterprise Journalism, In Collaboration",American Radio Works,,Massacre at Cuska,http://www.americanradioworks.org/features/kosovo/index.htm
2000,finalist,"Enterprise Journalism, In Collaboration",MSNBC,,Terminal Planet,http://www.msnbc.com/news/TERMINALPLANET_Front.asp
2000,finalist,"Enterprise Journalism, In Collaboration",Washington Post,,The Other War (Sierra Leone),http://www.washingtonpost.com/wp-srv/photo/galleries/sierra_leone/front.htm
2000,winner,"Enterprise Journalism, Original to the Web",Salon,,Drug Czar,http://www.salon.com/news/feature/2000/01/13/drugs/
2000,finalist,"Enterprise Journalism, Original to the Web",The Street,,A Special Delivery Direct from Webvan&#8217;s Roadshow,http://www.thestreet.com/comment/siliconstreet/791136.html
2000,finalist,"Enterprise Journalism, Original to the Web",Salon,,Columbine Martyrdom,http://www.salon.com/news/feature/1999/09/30/bernall/
2000,finalist,"Enterprise Journalism, Original to the Web",APB News,,Keeping POW/MIA Secrets,http://www.apbnews.com/newscenter/indepth/pow/
2000,finalist,"Enterprise Journalism, Original to the Web",CNET,,Napster Wildfire,http://www.apbnews.com/newscenter/indepth/pow/
2000,winner,"General Excellence in Online Journalism, In Collaboration",MSNBC,,MSNBC,http://www.msnbc.com
2000,finalist,"General Excellence in Online Journalism, In Collaboration",Atlantic Unbound,,Atlantic Unbound,http://www.theatlantic.com
2000,finalist,"General Excellence in Online Journalism, In Collaboration",BusinessWeek Online,,BusinessWeek Online,http://www.businessweek.com
2000,finalist,"General Excellence in Online Journalism, In Collaboration",Financial Times,,Financial Times,http://www.ft.com
2000,finalist,"General Excellence in Online Journalism, In Collaboration",The Wall Street Journal,,The Wall Street Journal,http://wsj.com
2000,winner,"General Excellence in Online Journalism, Original to the Web",Salon,,Salon,http://www.salon.com
2000,finalist,"General Excellence in Online Journalism, Original to the Web",Central Europe Review,,Central Europe Review,http://www.ce-review.org
2000,finalist,"General Excellence in Online Journalism, Original to the Web",CNET,,CNET,http://www.news.com
2000,finalist,"General Excellence in Online Journalism, Original to the Web",The Street,,The Street,http://www.thestreet.com
2000,winner,Online Commentary,"The Read, Oxygen.com",,Emily Prager,http://www.oxygen.com/read/archive/essay/991209essay.html
2000,finalist,Online Commentary,"Wired Women, ABC News",,Diane Lynch,http://abcnews.go.com/sections/tech/WiredWomen/wiredwomen_archive.html
2000,winner,"Service Journalism, In Collaboration",Cleveland.com,,Choosing Nursing Homes,http://www.cleveland.com/nursinghomes/
2000,finalist,"Service Journalism, In Collaboration",Consumer Reports,,Online Shopping Guide,http://www.consumerreports.org/Special/Samples/Reports/0001erat.htm
2000,finalist,"Service Journalism, In Collaboration",Weather.com,,Tornado!,http://www.weather.com/weather_center/tornado/
2000,winner,"Service Journalism, Original to the Web",BabyCenter,,Your Baby&#8217;s Health,http://www.babycenter.com/babyhealth
2000,finalist,"Service Journalism, Original to the Web",APB News,,College Community Crime Risk,http://www.apbnews.com/safetycenter/family/campus/
2000,finalist,"Service Journalism, Original to the Web",Women.com,,Development Tracker,http://www.women.com/family/tracker/
2000,finalist,"Service Journalism, Original to the Web",BankRate.com,,Recovering from a Natural Disaster,http://www.bankrate.com/brm/news/special/floyd.asp
2001,winner,"Breaking News, Affiliated",BBC News,,Concorde Crash,http://news.bbc.co.uk/hi/english/world/europe/newsid_851000/851209.stm
2001,finalist,"Breaking News, Affiliated",BusinessWeek Online,,Boeing Downsizing,http://businessweek.com/bwdaily/dnflash/jan2001/nf20010125_437.htm
2001,finalist,"Breaking News, Affiliated",Globe and Mail,,Canadian Election 2000,http://www.globeandmail.com/election2000/
2001,finalist,"Breaking News, Affiliated",Jerusalem Post,,Israel Decides &#8211; Election 2001 Live Coverage,http://www.jpost.com/Elections/
2001,finalist,"Breaking News, Affiliated",USA TODAY,,Cal Ripken Retirement Announcement,http://www.usatoday.com/sports/baseball/ripken/2001-06-20-cover.htm
2001,winner,"Breaking News, Independent",Rediff.com,,The Gujarat Earthquake,http://www.rediff.com/news/quake.htm
2001,finalist,"Breaking News, Independent",CNET,,Napster&#8217;s Day in Court,http://news.cnet.com/news/0-1005-201-4774158-0.html
2001,finalist,"Breaking News, Independent",Slashdot,,EFF Files First Anti-DMCA Lawsuit,http://slashdot.org/article.pl?sid=01/06/06/131232&amp;mode=thread
2001,finalist,"Breaking News, Independent",BeliefNet,,America Considers a Jewish Vice President,http://www.beliefnet.com/features/election2000/lieberman.html
2001,winner,"Creative Use of the Medium, Affiliated",The Herald Sun,,Touching Hearts &#8211; A Story of Hope &amp; Help in Nicaragua,http://www.heraldsun.com/heart/
2001,finalist,"Creative Use of the Medium, Affiliated",CTV News,,Conflict in the Middle East,http://www.ctvnews.com/content/publish/popups/middle_east/index.htm
2001,finalist,"Creative Use of the Medium, Affiliated",MSNBC,,Suviving the Summer Driving Season,http://www.msnbc.com/news/summerdriving_front.asp
2001,finalist,"Creative Use of the Medium, Affiliated",Providence Journal,,Rescuing the Right,http://www.projo.com/specials/rightwhales/
2001,finalist,"Creative Use of the Medium, Affiliated","La Nueva Frontera, TIME",,The New Frontier,http://www.time.com/time/covers/1101010611/index.html
2001,winner,"Creative Use of the Medium, Independent",360Degrees,,The U.S. Criminal Justice System,http://www.360degrees.org/
2001,finalist,"Creative Use of the Medium, Independent",CNET,,Head-on Collision &#8212; Old and New Economies Clash in Auto Industry Marketplace,http://news.cnet.com/news/0-1007-201-3412381-0.html
2001,finalist,"Creative Use of the Medium, Independent",BeliefNet,,World Peace Summit,http://www.beliefnet.com/index/index_1001.html
2001,winner,"Enterprise Journalism, Affiliated",CNN,,Colombia: War Without End,http://www.cnn.com/SPECIALS/2000/colombia.noframes/
2001,finalist,"Enterprise Journalism, Affiliated",Dallas Morning News,,Toxic Traps,http://www.dallasnews.com/toxic/1003index.html
2001,finalist,"Enterprise Journalism, Affiliated",Philadelphia Inquirer,,Killing Pablo,http://www.killingpablo.com
2001,finalist,"Enterprise Journalism, Affiliated",KRWashington.com,,A Taste of Slavery,http://www.krwashington.com/content/krwashington/slavery/slavery.htm
2001,finalist,"Enterprise Journalism, Affiliated",FRONTLINE,,Drug Wars,http://www.pbs.org/frontline/shows/drugs
2001,winner,"Enterprise Journalism, Independent",Salon,,Radio&#8217;s Big Bully,http://www.salon.com/ent/clear_channel/
2001,finalist,"Enterprise Journalism, Independent",WebMD,,Jeff&#8217;s Story,http://my.webmd.com/special_event_article/article/1728.72533
2001,finalist,"Enterprise Journalism, Independent",Slate,,Seed &#8212; The Genius Babies &amp; How They Grew,http://slate.msn.com/seed/entries/01-02-07_100331.asp
2001,finalist,"Enterprise Journalism, Independent",BeliefNet,,Is Bush&#8217;s Religious Charity Plan Sinking?,http://www.beliefnet.com/archive/index_010306.html
2001,finalist,"Enterprise Journalism, Independent",Salon,,Gov. Bush&#8217;s Office Ignored Murder Confession,http://www.salon.com/politics/feature/2000/10/13/texas/index.html
2001,winner,"Feature Journalism, Affiliated",Sun-Sentinel,,Witness to an Empidemic &#8212; AIDS in the Caribbean,http://www.sun-sentinel.com/witness
2001,finalist,"Feature Journalism, Affiliated",ABC News,,John Lennon in New York,http://abcnews.go.com/onair/lennon/
2001,finalist,"Feature Journalism, Affiliated",CNN,,The Unfinished War &#8212; A Decade After Desert Storm,http://www.cnn.com/SPECIALS/2001/gulf.war/
2001,finalist,"Feature Journalism, Affiliated",New York Times,,Salsa &#8212; Made in New York,http://www.nytimes.com/library/music/102400salsa-intro.html
2001,winner,"Feature Journalism, Independent",DigitalJournalist.org,,20 Years &#8212; AIDS &amp; Photography,http://digitaljournalist.org/issue0106/visions_frameset.htm
2001,finalist,"Feature Journalism, Independent",SportsJones,,Being John McEnroe,http://sportsjones.com/sj/323.shtml
2001,finalist,"Feature Journalism, Independent",Salon,,Living Under the Hole in the Sky,http://www.salon.com/health/feature/2000/11/03/ozone/
2001,finalist,"Feature Journalism, Independent",Salon,,Bad Blood,http://www.salon.com/news/feature/2000/08/09/warren_cover/index.html
2001,finalist,"Feature Journalism, Independent",Wired,,Kozmo Kills the Messenger,"http://www.wired.com/news/business/0,1367,43025,00.html"
2001,winner,"General Excellence in Online Journalism, Affiliated",BBC News,,BBC News,http://news.bbc.co.uk
2001,finalist,"General Excellence in Online Journalism, Affiliated",The Wall Street Journal,,The Wall Street Journal,http://wsj.com
2001,finalist,"General Excellence in Online Journalism, Affiliated",CNN,,CNN,http://www.cnn.com
2001,finalist,"General Excellence in Online Journalism, Affiliated",MSNBC,,MSNBC,http://www.msnbc.com
2001,finalist,"General Excellence in Online Journalism, Affiliated",New York Times,,New York Times,http://www.nytimes.com
2001,finalist,"General Excellence in Online Journalism, Affiliated",Washington Post,,Washington Post,http://www.washingtonpost.com
2001,winner,"General Excellence in Online Journalism, Independent",Slate,,Slate,http://www.slate.com
2001,finalist,"General Excellence in Online Journalism, Independent",CNET,,CNET,http://www.news.com
2001,finalist,"General Excellence in Online Journalism, Independent",PraxisPost,,PraxisPost,http://www.praxispost.com
2001,finalist,"General Excellence in Online Journalism, Independent",Salon,,Salon,http://www.salon.com
2001,winner,"Innovative Presentation of Information, Affiliated",Smart Money,,Mutual Fund Map,http://www.smartmoney.com/fundinsight/index.cfm?story=200008151
2001,finalist,"Innovative Presentation of Information, Affiliated",TBO.com,,Crime Tracker,http://crimetracker.tbo.com
2001,finalist,"Innovative Presentation of Information, Affiliated",Mother Jones,,Mother Jones 400,http://motherjones.com/web_exclusives/special_reports/mojo_400/
2001,finalist,"Innovative Presentation of Information, Affiliated",USA TODAY,,Census 2000,http://www.usatoday.com/news/census/index.htm
